,best_offset,best_res,sec_best_res
12646bc207e64fde8847dc179903d398,0.0,0.42518518518518517,0.5862277091906721
126c643e8e46421d9ffb3ef1cd70cff0,-12.0,0.45115073921658283,0.49494487628918354
127ed7d433594f01a3cb591e4613251b,-12.0,0.42509135200974424,0.4827093152571096
12b522803dee44e5b3719481fae57670,0.0,0.48000758006443056,0.6104794390752322
12b8ab6deab34aa8b1a85b1e5f878889,-12.0,0.5126596213121972,0.5154117129018053
12bf4e3418e845bb9eb0202358524214,-12.0,0.36309144918311054,0.5811584977721197
12d1799e8d8048f39461d2d797f546be,0.0,0.3787094642955459,0.5482849749490722
12e56ea13efa4af9822718de03d5df8b,0.0,0.5499107218773914,0.7895161976022447
12f75558c53b4cdb8f4db2c73746a418,-5.0,0.7604891561380988,0.8048780487804879
1334393d0ae34bb480ff0ba51d4d1a11,0.0,0.24147814966706355,0.48498478634740044
134b77df75f94d4db72a980a1dedd783,0.0,0.3231718061674009,0.4373568281938326
134eb808a0da49168af254283b6b3954,-11.0,0.4801045313347468,0.5982446624919876
134f7b629f684c529a84894f5b85c3bb,-12.0,0.5014629272818097,0.657960465282238
134fa78a3d4a462299db018f0444ce26,-12.0,0.43151149177398485,0.6266559861975476
135b109d487a46628e7a094f2d52f912,-12.0,0.3962378948435836,0.419560918724332
137b8f69021b4a3a9642f5d67e0b2f6e,-6.0,0.5491028361952537,0.5880764036272429
137f717490d94c718db8907bd8a68065,-12.0,0.5406298172208764,0.6255009909711517
1386fff07aa1491699af333448bda648,-12.0,0.2946924062040507,0.5772423279419437
139ca25b8a1d433aa78c7877ee8f8640,-16.0,0.3368245531759679,0.4195195664634464
13a4f958d9b94a1c8cf09e6d157bbbfd,-12.0,0.5355656634084971,0.5901964579502564
13ac08a92b3e4bb9a4ce651fe5486da4,-12.0,0.26534017436282487,0.47816293329996246
13ad53107468471ab185abd675754512,-12.0,0.6652173913043479,0.7126734505087882
13ad91deab034660ae5864da5d641a0d,-12.0,0.44867070281653065,0.6421426691234535
13b6544406d6437bbb7512c967894049,-11.0,0.38016528925619836,0.6386699980780319
